clean_path,noisy_path,noise_path,snr_db
data\timit_mixed\SX30_clean.wav,data\timit_mixed\SX30_snr0.wav,data\noise\destroyerengine.wav,0.0
data\timit_mixed\SI1931_clean.wav,data\timit_mixed\SI1931_snr5.wav,data\noise\m109.wav,5.0
data\timit_mixed\SI816_clean.wav,data\timit_mixed\SI816_snr5.wav,data\noise\pink.wav,5.0
data\timit_mixed\SI1783_clean.wav,data\timit_mixed\SI1783_snr0.wav,data\noise\volvo.wav,0.0
data\timit_mixed\SI1509_clean.wav,data\timit_mixed\SI1509_snr0.wav,data\noise\demo_noise.wav,0.0
data\timit_mixed\SI719_clean.wav,data\timit_mixed\SI719_snr-5.wav,data\noise\destroyerengine.wav,-5.0
data\timit_mixed\SX55_clean.wav,data\timit_mixed\SX55_snr-5.wav,data\noise\machinegun.wav,-5.0
data\timit_mixed\SX322_clean.wav,data\timit_mixed\SX322_snr0.wav,data\noise\destroyerops.wav,0.0
data\timit_mixed\SI2041_clean.wav,data\timit_mixed\SI2041_snr5.wav,data\noise\leopard.wav,5.0
data\timit_mixed\SI1347_clean.wav,data\timit_mixed\SI1347_snr10.wav,data\noise\demo_noise.wav,10.0
data\timit_mixed\SX211_clean.wav,data\timit_mixed\SX211_snr-5.wav,data\noise\volvo.wav,-5.0
data\timit_mixed\SI1888_clean.wav,data\timit_mixed\SI1888_snr-5.wav,data\noise\white.wav,-5.0
data\timit_mixed\SI2192_clean.wav,data\timit_mixed\SI2192_snr-5.wav,data\noise\factory1.wav,-5.0
data\timit_mixed\SI2310_clean.wav,data\timit_mixed\SI2310_snr10.wav,data\noise\machinegun.wav,10.0
data\timit_mixed\SI2248_clean.wav,data\timit_mixed\SI2248_snr0.wav,data\noise\destroyerops.wav,0.0
data\timit_mixed\SI1866_clean.wav,data\timit_mixed\SI1866_snr-5.wav,data\noise\hfchannel.wav,-5.0
data\timit_mixed\SI1034_clean.wav,data\timit_mixed\SI1034_snr5.wav,data\noise\f16.wav,5.0
data\timit_mixed\SI636_clean.wav,data\timit_mixed\SI636_snr5.wav,data\noise\destroyerengine.wav,5.0
data\timit_mixed\SI1955_clean.wav,data\timit_mixed\SI1955_snr5.wav,data\noise\machinegun.wav,5.0
data\timit_mixed\SI1382_clean.wav,data\timit_mixed\SI1382_snr10.wav,data\noise\factory2.wav,10.0
data\timit_mixed\SI945_clean.wav,data\timit_mixed\SI945_snr0.wav,data\noise\buccaneer1.wav,0.0
data\timit_mixed\SI1211_clean.wav,data\timit_mixed\SI1211_snr10.wav,data\noise\hfchannel.wav,10.0
data\timit_mixed\demo_clean_clean.wav,data\timit_mixed\demo_clean_snr0.wav,data\noise\babble.wav,0.0
data\timit_mixed\SX33_clean.wav,data\timit_mixed\SX33_snr5.wav,data\noise\machinegun.wav,5.0
data\timit_mixed\SI1263_clean.wav,data\timit_mixed\SI1263_snr-5.wav,data\noise\destroyerops.wav,-5.0
data\timit_mixed\SI2217_clean.wav,data\timit_mixed\SI2217_snr-5.wav,data\noise\factory2.wav,-5.0
data\timit_mixed\SI1022_clean.wav,data\timit_mixed\SI1022_snr-5.wav,data\noise\white.wav,-5.0
data\timit_mixed\SI1271_clean.wav,data\timit_mixed\SI1271_snr-5.wav,data\noise\hfchannel.wav,-5.0
data\timit_mixed\SI1054_clean.wav,data\timit_mixed\SI1054_snr10.wav,data\noise\destroyerops.wav,10.0
data\timit_mixed\SX226_clean.wav,data\timit_mixed\SX226_snr10.wav,data\noise\leopard.wav,10.0
data\timit_mixed\SI1787_clean.wav,data\timit_mixed\SI1787_snr-5.wav,data\noise\buccaneer2.wav,-5.0
data\timit_mixed\SX18_clean.wav,data\timit_mixed\SX18_snr5.wav,data\noise\machinegun.wav,5.0
data\timit_mixed\SI1508_clean.wav,data\timit_mixed\SI1508_snr-5.wav,data\noise\buccaneer2.wav,-5.0
data\timit_mixed\SX357_clean.wav,data\timit_mixed\SX357_snr-5.wav,data\noise\hfchannel.wav,-5.0
data\timit_mixed\SI882_clean.wav,data\timit_mixed\SI882_snr-5.wav,data\noise\factory2.wav,-5.0
data\timit_mixed\SI1777_clean.wav,data\timit_mixed\SI1777_snr0.wav,data\noise\factory2.wav,0.0
data\timit_mixed\SI2040_clean.wav,data\timit_mixed\SI2040_snr5.wav,data\noise\hfchannel.wav,5.0
data\timit_mixed\SI2133_clean.wav,data\timit_mixed\SI2133_snr10.wav,data\noise\machinegun.wav,10.0
data\timit_mixed\SI2069_clean.wav,data\timit_mixed\SI2069_snr5.wav,data\noise\destroyerops.wav,5.0
data\timit_mixed\SI1635_clean.wav,data\timit_mixed\SI1635_snr-5.wav,data\noise\pink.wav,-5.0
data\timit_mixed\SI557_clean.wav,data\timit_mixed\SI557_snr-5.wav,data\noise\destroyerengine.wav,-5.0
data\timit_mixed\SI726_clean.wav,data\timit_mixed\SI726_snr5.wav,data\noise\hfchannel.wav,5.0
data\timit_mixed\SI1262_clean.wav,data\timit_mixed\SI1262_snr0.wav,data\noise\destroyerengine.wav,0.0
data\timit_mixed\SI1937_clean.wav,data\timit_mixed\SI1937_snr-5.wav,data\noise\white.wav,-5.0
data\timit_mixed\SI2137_clean.wav,data\timit_mixed\SI2137_snr5.wav,data\noise\babble.wav,5.0
data\timit_mixed\SI2197_clean.wav,data\timit_mixed\SI2197_snr0.wav,data\noise\leopard.wav,0.0
data\timit_mixed\SI2202_clean.wav,data\timit_mixed\SI2202_snr10.wav,data\noise\white.wav,10.0
data\timit_mixed\SI2333_clean.wav,data\timit_mixed\SI2333_snr5.wav,data\noise\buccaneer2.wav,5.0
data\timit_mixed\SI1025_clean.wav,data\timit_mixed\SI1025_snr10.wav,data\noise\buccaneer1.wav,10.0
data\timit_mixed\SX248_clean.wav,data\timit_mixed\SX248_snr0.wav,data\noise\machinegun.wav,0.0
data\timit_mixed\SX108_clean.wav,data\timit_mixed\SX108_snr10.wav,data\noise\babble.wav,10.0
data\timit_mixed\SI1944_clean.wav,data\timit_mixed\SI1944_snr10.wav,data\noise\buccaneer2.wav,10.0
data\timit_mixed\SI783_clean.wav,data\timit_mixed\SI783_snr5.wav,data\noise\machinegun.wav,5.0
data\timit_mixed\SI1332_clean.wav,data\timit_mixed\SI1332_snr-5.wav,data\noise\destroyerengine.wav,-5.0
data\timit_mixed\SI1974_clean.wav,data\timit_mixed\SI1974_snr0.wav,data\noise\pink.wav,0.0
data\timit_mixed\SI2321_clean.wav,data\timit_mixed\SI2321_snr-5.wav,data\noise\f16.wav,-5.0
data\timit_mixed\SX61_clean.wav,data\timit_mixed\SX61_snr5.wav,data\noise\demo_noise.wav,5.0
data\timit_mixed\SI1351_clean.wav,data\timit_mixed\SI1351_snr10.wav,data\noise\factory1.wav,10.0
data\timit_mixed\SI2004_clean.wav,data\timit_mixed\SI2004_snr-5.wav,data\noise\buccaneer1.wav,-5.0
data\timit_mixed\SI1530_clean.wav,data\timit_mixed\SI1530_snr-5.wav,data\noise\factory1.wav,-5.0
data\timit_mixed\SI1752_clean.wav,data\timit_mixed\SI1752_snr-5.wav,data\noise\destroyerengine.wav,-5.0
data\timit_mixed\SI1703_clean.wav,data\timit_mixed\SI1703_snr-5.wav,data\noise\demo_noise.wav,-5.0
data\timit_mixed\SX183_clean.wav,data\timit_mixed\SX183_snr-5.wav,data\noise\babble.wav,-5.0
data\timit_mixed\SI660_clean.wav,data\timit_mixed\SI660_snr5.wav,data\noise\buccaneer2.wav,5.0
data\timit_mixed\SI1950_clean.wav,data\timit_mixed\SI1950_snr-5.wav,data\noise\factory1.wav,-5.0
data\timit_mixed\SI1396_clean.wav,data\timit_mixed\SI1396_snr10.wav,data\noise\buccaneer2.wav,10.0
data\timit_mixed\SI667_clean.wav,data\timit_mixed\SI667_snr0.wav,data\noise\factory1.wav,0.0
data\timit_mixed\SX56_clean.wav,data\timit_mixed\SX56_snr10.wav,data\noise\pink.wav,10.0
data\timit_mixed\SI1167_clean.wav,data\timit_mixed\SI1167_snr5.wav,data\noise\pink.wav,5.0
data\timit_mixed\SI1556_clean.wav,data\timit_mixed\SI1556_snr10.wav,data\noise\destroyerengine.wav,10.0
data\timit_mixed\SI1657_clean.wav,data\timit_mixed\SI1657_snr10.wav,data\noise\m109.wav,10.0
data\timit_mixed\SI699_clean.wav,data\timit_mixed\SI699_snr0.wav,data\noise\babble.wav,0.0
data\timit_mixed\SI2022_clean.wav,data\timit_mixed\SI2022_snr10.wav,data\noise\volvo.wav,10.0
data\timit_mixed\SX121_clean.wav,data\timit_mixed\SX121_snr5.wav,data\noise\factory1.wav,5.0
data\timit_mixed\SI1032_clean.wav,data\timit_mixed\SI1032_snr-5.wav,data\noise\destroyerops.wav,-5.0
data\timit_mixed\SI1659_clean.wav,data\timit_mixed\SI1659_snr0.wav,data\noise\pink.wav,0.0
data\timit_mixed\SI2077_clean.wav,data\timit_mixed\SI2077_snr-5.wav,data\noise\machinegun.wav,-5.0
data\timit_mixed\SX346_clean.wav,data\timit_mixed\SX346_snr0.wav,data\noise\pink.wav,0.0
data\timit_mixed\SI1959_clean.wav,data\timit_mixed\SI1959_snr10.wav,data\noise\babble.wav,10.0
data\timit_mixed\SX239_clean.wav,data\timit_mixed\SX239_snr5.wav,data\noise\buccaneer2.wav,5.0
data\timit_mixed\SI2053_clean.wav,data\timit_mixed\SI2053_snr0.wav,data\noise\f16.wav,0.0
data\timit_mixed\SI1708_clean.wav,data\timit_mixed\SI1708_snr10.wav,data\noise\factory2.wav,10.0
data\timit_mixed\SI996_clean.wav,data\timit_mixed\SI996_snr0.wav,data\noise\m109.wav,0.0
data\timit_mixed\SI1533_clean.wav,data\timit_mixed\SI1533_snr5.wav,data\noise\leopard.wav,5.0
data\timit_mixed\SI592_clean.wav,data\timit_mixed\SI592_snr-5.wav,data\noise\pink.wav,-5.0
data\timit_mixed\SX3_clean.wav,data\timit_mixed\SX3_snr-5.wav,data\noise\demo_noise.wav,-5.0
data\timit_mixed\SX17_clean.wav,data\timit_mixed\SX17_snr5.wav,data\noise\buccaneer1.wav,5.0
data\timit_mixed\SX341_clean.wav,data\timit_mixed\SX341_snr-5.wav,data\noise\factory2.wav,-5.0
data\timit_mixed\SX343_clean.wav,data\timit_mixed\SX343_snr5.wav,data\noise\leopard.wav,5.0
data\timit_mixed\SI974_clean.wav,data\timit_mixed\SI974_snr5.wav,data\noise\factory2.wav,5.0
data\timit_mixed\SX3_clean.wav,data\timit_mixed\SX3_snr0.wav,data\noise\demo_noise.wav,0.0
data\timit_mixed\SX395_clean.wav,data\timit_mixed\SX395_snr0.wav,data\noise\buccaneer2.wav,0.0
data\timit_mixed\SX446_clean.wav,data\timit_mixed\SX446_snr10.wav,data\noise\babble.wav,10.0
data\timit_mixed\SX399_clean.wav,data\timit_mixed\SX399_snr0.wav,data\noise\destroyerops.wav,0.0
data\timit_mixed\SI1143_clean.wav,data\timit_mixed\SI1143_snr-5.wav,data\noise\factory1.wav,-5.0
data\timit_mixed\SI588_clean.wav,data\timit_mixed\SI588_snr0.wav,data\noise\leopard.wav,0.0
data\timit_mixed\SI726_clean.wav,data\timit_mixed\SI726_snr-5.wav,data\noise\hfchannel.wav,-5.0
data\timit_mixed\SI2096_clean.wav,data\timit_mixed\SI2096_snr-5.wav,data\noise\destroyerengine.wav,-5.0
data\timit_mixed\SX195_clean.wav,data\timit_mixed\SX195_snr0.wav,data\noise\demo_noise.wav,0.0
data\timit_mixed\SX80_clean.wav,data\timit_mixed\SX80_snr0.wav,data\noise\factory1.wav,0.0
data\timit_mixed\SI1408_clean.wav,data\timit_mixed\SI1408_snr-5.wav,data\noise\hfchannel.wav,-5.0
data\timit_mixed\SI744_clean.wav,data\timit_mixed\SI744_snr0.wav,data\noise\buccaneer1.wav,0.0
data\timit_mixed\SI1917_clean.wav,data\timit_mixed\SI1917_snr5.wav,data\noise\buccaneer1.wav,5.0
data\timit_mixed\SX390_clean.wav,data\timit_mixed\SX390_snr0.wav,data\noise\volvo.wav,0.0
data\timit_mixed\SI708_clean.wav,data\timit_mixed\SI708_snr10.wav,data\noise\hfchannel.wav,10.0
data\timit_mixed\SX78_clean.wav,data\timit_mixed\SX78_snr5.wav,data\noise\destroyerops.wav,5.0
data\timit_mixed\SI1215_clean.wav,data\timit_mixed\SI1215_snr0.wav,data\noise\m109.wav,0.0
data\timit_mixed\SI1563_clean.wav,data\timit_mixed\SI1563_snr10.wav,data\noise\leopard.wav,10.0
data\timit_mixed\SI667_clean.wav,data\timit_mixed\SI667_snr10.wav,data\noise\factory1.wav,10.0
data\timit_mixed\SI1706_clean.wav,data\timit_mixed\SI1706_snr-5.wav,data\noise\f16.wav,-5.0
data\timit_mixed\SI951_clean.wav,data\timit_mixed\SI951_snr10.wav,data\noise\demo_noise.wav,10.0
data\timit_mixed\SI570_clean.wav,data\timit_mixed\SI570_snr0.wav,data\noise\machinegun.wav,0.0
data\timit_mixed\SX42_clean.wav,data\timit_mixed\SX42_snr5.wav,data\noise\destroyerops.wav,5.0
data\timit_mixed\SI1607_clean.wav,data\timit_mixed\SI1607_snr10.wav,data\noise\m109.wav,10.0
data\timit_mixed\SI2327_clean.wav,data\timit_mixed\SI2327_snr0.wav,data\noise\machinegun.wav,0.0
data\timit_mixed\SI1284_clean.wav,data\timit_mixed\SI1284_snr5.wav,data\noise\buccaneer1.wav,5.0
data\timit_mixed\SI710_clean.wav,data\timit_mixed\SI710_snr5.wav,data\noise\m109.wav,5.0
data\timit_mixed\SI805_clean.wav,data\timit_mixed\SI805_snr5.wav,data\noise\buccaneer2.wav,5.0
